Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.251.42.238-192.168.52.132-443-49169-6,192.168.52.132,49169,142.251.42.238,443,6,186994,3,3,517,0,517,0,172.3333333,298.4900892,0,0,0,0,2764.794592,32.08659101,37398.8,81082.81763,182432,31,184197,92098.5,128366.0437,182867,1330,4562,2281,685.8935778,2766,1796,0,0,0,0,60,76,16.04329551,16.04329551,0,517,73.85714286,195.4076325,38184.14286,0,1,0,0,0,0,0,0,1,86.16666667,172.3333333,0,0,0,0,0,0,0,3,517,3,0,-1,64240,1,0,0,0,0,0,0,0,0,0,0
142.251.42.238-192.168.52.132-443-49170-6,192.168.52.132,49170,142.251.42.238,443,6,185599,3,3,517,0,517,0,172.3333333,298.4900892,0,0,0,0,2785.575353,32.32776039,37119.8,80986.24381,181981,121,182860,91430,128298.8686,182151,709,3618,1809,1144.098772,2618,1000,0,0,0,0,60,76,16.16388019,16.16388019,0,517,73.85714286,195.4076325,38184.14286,0,1,0,0,0,0,0,0,1,86.16666667,172.3333333,0,0,0,0,0,0,0,3,517,3,0,-1,64240,1,0,0,0,0,0,0,0,0,0,0
142.251.42.238-192.168.52.132-443-49171-6,192.168.52.132,49171,142.251.42.238,443,6,185368,3,3,517,0,517,0,172.3333333,298.4900892,0,0,0,0,2789.046653,32.36804626,37073.6,81429.94702,182736,59,183873,91936.5,128545.6489,182832,1041,2632,1316,169.7056275,1436,1196,0,0,0,0,60,76,16.18402313,16.18402313,0,517,73.85714286,195.4076325,38184.14286,0,1,0,0,0,0,0,0,1,86.16666667,172.3333333,0,0,0,0,0,0,0,3,517,3,0,-1,64240,1,0,0,0,0,0,0,0,0,0,0
142.251.42.238-192.168.52.132-443-49172-6,192.168.52.132,49172,142.251.42.238,443,6,184957,3,3,517,0,517,0,172.3333333,298.4900892,0,0,0,0,2795.2443,32.43997253,36991.4,79253.75125,178730,0,183125,91562.5,123273.4607,178730,4395,6227,3113.5,2088.086325,4590,1637,0,0,0,0,60,76,16.21998627,16.21998627,0,517,73.85714286,195.4076325,38184.14286,0,1,0,0,0,0,0,0,1,86.16666667,172.3333333,0,0,0,0,0,0,0,3,517,3,0,-1,64240,1,0,0,0,0,0,0,0,0,0,0
142.251.42.238-192.168.52.132-443-49169-6,142.251.42.238,443,192.168.52.132,49169,6,1553,1,1,0,0,0,0,0,0,0,0,0,0,0,1287.830006,1553,0,1553,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,643.9150032,643.9150032,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
142.251.42.238-192.168.52.132-443-49170-6,142.251.42.238,443,192.168.52.132,49170,6,1788,1,1,0,0,0,0,0,0,0,0,0,0,0,1118.568233,1788,0,1788,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,559.2841163,559.2841163,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
142.251.42.238-192.168.52.132-443-49171-6,142.251.42.238,443,192.168.52.132,49171,6,1770,1,1,0,0,0,0,0,0,0,0,0,0,0,1129.943503,1770,0,1770,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,564.9717514,564.9717514,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
142.251.42.238-192.168.52.132-443-49172-6,142.251.42.238,443,192.168.52.132,49172,6,1590,1,1,0,0,0,0,0,0,0,0,0,0,0,1257.861635,1590,0,1590,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,628.9308176,628.9308176,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
185.199.109.154-192.168.52.132-443-49194-6,192.168.52.132,49194,185.199.109.154,443,6,328054,3,3,517,0,517,0,172.3333333,298.4900892,0,0,0,0,1575.960055,18.28967182,65610.8,144492.5167,324083,172,325807,162903.5,228372.1558,324387,1420,3971,1985.5,126.5721138,2075,1896,0,0,0,0,60,76,9.144835911,9.144835911,0,517,73.85714286,195.4076325,38184.14286,0,1,0,0,0,0,0,0,1,86.16666667,172.3333333,0,0,0,0,0,0,0,3,517,3,0,-1,64240,1,0,0,0,0,0,0,0,0,0,0
185.199.109.154-192.168.52.132-443-49194-6,185.199.109.154,443,192.168.52.132,49194,6,1197,1,1,0,0,0,0,0,0,0,0,0,0,0,1670.843776,1197,0,1197,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,835.4218881,835.4218881,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
